ID	Change	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	CI_lower	CI_upper
mikado.Chr05G455	stable	3009.84246405436	-0.0410690080058153	0.110017839491024	-0.373294078449577	0.708929583172325	0.921049608848355	-0.256703973408222	0.174565957396592
mikado.Chr05G454	stable	2139.43608718873	0.0735667741322452	0.155669962756046	0.472581690326047	0.636511647874188	0.898533477137844	-0.231546352869605	0.378679901134095
mikado.Chr05G456	stable	268.788250496883	-0.158635448181387	0.492334853727337	-0.322210477240032	0.747293247722099	0.935175117705417	-1.12361176148697	0.806340865124193
mikado.Chr05G457	stable	716.579265677163	-0.431438741426279	0.168208840574691	-2.56489932367558	0.0103205745783906	0.168864565020532	-0.761128068952673	-0.101749413899885
mikado.Chr05G468	stable	3200.67894038021	-0.126762582974107	0.19793070841345	-0.640439192029353	0.521887110009014	0.850558836075216	-0.514706771464469	0.261181605516255
mikado.Chr05G462	stable	3107.54201607138	-0.145787315838709	0.15457052371711	-0.943176695872008	0.345590531251696	0.736153735089254	-0.448745542324245	0.157170910646827
mikado.Chr05G463	stable	4211.95652629404	0.197344954045402	0.168334374847121	1.17233900814749	0.241060976265119	0.654131493476376	-0.132590420654955	0.527280328745759
mikado.Chr05G465	stable	3608.29377820171	0.141616065130429	0.0830652068264326	1.70487825818986	0.0882171320843735	0.445639169356452	-0.0211917402493789	0.304423870510237
mikado.Chr05G464	stable	3344.46652442271	0.161657800256514	0.12709534302819	1.27194117742502	0.203394019909068	0.615260851570094	-0.0874490720787384	0.410764672591766
mikado.Chr05G466	stable	1152.22600698019	-0.418130534213395	0.292441625787544	-1.42979144329188	0.152776885673114	0.556917295223542	-0.991316120756981	0.155055052330191
mikado.Chr05G467	stable	92.7500227915748	-0.144295417437387	0.252169512360762	-0.572215951430929	0.567175682100203	0.871164658703808	-0.638547661664481	0.349956826789707
mikado.Chr05G469	stable	5660.66624158123	0.215500642276547	0.123910663120332	1.73916139942912	0.082006377094721	0.431551873040358	-0.0273642574393037	0.458365541992398
mikado.Chr05G472	stable	928.804348787847	-0.27916475540514	0.110036603886043	-2.53701718833718	0.0111801464747057	0.175011009293603	-0.494836499021784	-0.0634930117884958
mikado.Chr05G475	stable	767.031427203289	0.235526530825044	0.171944516779001	1.36978215552965	0.170754913989153	0.582006509733522	-0.101484722061798	0.572537783711886
mikado.Chr05G476	stable	1736.25722582949	-0.8393576600158	0.164899240836288	-5.09012446484891	3.57828563778641e-07	0.000125096865897013	-1.16256017205492	-0.516155147976675
mikado.Chr05G477	stable	1051.52973382349	-0.0881470649986123	0.208237205420279	-0.423301229099322	0.672075497655486	0.910089287221844	-0.496291987622359	0.319997857625134
mikado.Chr05G494	stable	150.451431010357	-0.409380267240775	0.313934161913172	-1.30403223639612	0.192222591383769	0.606579927391507	-1.02469122459059	0.205930690109042
mikado.Chr05G497	stable	609.655371409176	0.125256430984566	0.223445176034022	0.56056896464614	0.575091413545549	0.874260420371386	-0.312696114042117	0.563208976011249
mikado.Chr05G498	stable	2106.73092043643	-0.0651303178289701	0.177261044794957	-0.367426006680194	0.71330127561015	0.922743233853814	-0.412561965627086	0.282301329969146
mikado.Chr05G500	stable	509.282626960419	-0.22692871222706	0.420537148045321	-0.539616329453502	0.589461652858374	0.878323630923876	-1.05118152239589	0.597324097941769
mikado.Chr05G481	stable	2379.57629516676	0.395857021979298	0.121404597881526	3.26064275066088	0.00111159997231132	0.0492457843813989	0.157904010131507	0.633810033827089
mikado.Chr05G478	stable	1148.62976996656	0.525974783818424	0.221878953713326	2.37054833284458	0.0177617214733457	0.219158746838176	0.0910920345403051	0.960857533096543
mikado.Chr05G482	stable	2213.46913703006	0.165284240018306	0.129260789122989	1.27868815547026	0.201006892328695	0.613556463942014	-0.0880669066627524	0.418635386699364
